x	y
30	0.683417
29.99	0.683443
29.98	0.683469
29.97	0.683495
29.96	0.683521
29.95	0.683546
29.94	0.683572
29.93	0.683598
29.92	0.683624
29.91	0.68365
29.9	0.683676
29.89	0.683702
29.88	0.683728
29.87	0.683754
29.86	0.68378
29.85	0.683806
29.84	0.683832
29.83	0.683858
29.82	0.683884
29.81	0.68391
29.8	0.683936
29.79	0.683962
29.78	0.683989
29.77	0.684015
29.76	0.684041
29.75	0.684067
29.74	0.684093
29.73	0.68412
29.72	0.684146
29.71	0.684172
29.7	0.684199
29.69	0.684225
29.68	0.684251
29.67	0.684278
29.66	0.684304
29.65	0.684331
29.64	0.684357
29.63	0.684383
29.62	0.68441
29.61	0.684436
29.6	0.684463
29.59	0.684489
29.58	0.684516
29.57	0.684543
29.56	0.684569
29.55	0.684596
29.54	0.684622
29.53	0.684649
29.52	0.684676
29.51	0.684702
29.5	0.684729
29.49	0.684756
29.48	0.684783
29.47	0.684809
29.46	0.684836
29.45	0.684863
29.44	0.68489
29.43	0.684917
29.42	0.684944
29.41	0.68497
29.4	0.684997
29.39	0.685024
29.38	0.685051
29.37	0.685078
29.36	0.685105
29.35	0.685132
29.34	0.685159
29.33	0.685186
29.32	0.685213
29.31	0.685241
29.3	0.685268
29.29	0.685295
29.28	0.685322
29.27	0.685349
29.26	0.685376
29.25	0.685404
29.24	0.685431
29.23	0.685458
29.22	0.685485
29.21	0.685513
29.2	0.68554
29.19	0.685567
29.18	0.685595
29.17	0.685622
29.16	0.685649
29.15	0.685677
29.14	0.685704
29.13	0.685732
29.12	0.685759
29.11	0.685787
29.1	0.685814
29.09	0.685842
29.08	0.685869
29.07	0.685897
29.06	0.685925
29.05	0.685952
29.04	0.68598
29.03	0.686008
29.02	0.686035
29.01	0.686063
29	0.686091
28.99	0.686118
28.98	0.686146
28.97	0.686174
28.96	0.686202
28.95	0.68623
28.94	0.686258
28.93	0.686285
28.92	0.686313
28.91	0.686341
28.9	0.686369
28.89	0.686397
28.88	0.686425
28.87	0.686453
28.86	0.686481
28.85	0.686509
28.84	0.686537
28.83	0.686566
28.82	0.686594
28.81	0.686622
28.8	0.68665
28.79	0.686678
28.78	0.686706
28.77	0.686735
28.76	0.686763
28.75	0.686791
28.74	0.686819
28.73	0.686848
28.72	0.686876
28.71	0.686904
28.7	0.686933
28.69	0.686961
28.68	0.68699
28.67	0.687018
28.66	0.687047
28.65	0.687075
28.64	0.687104
28.63	0.687132
28.62	0.687161
28.61	0.687189
28.6	0.687218
28.59	0.687247
28.58	0.687275
28.57	0.687304
28.56	0.687333
28.55	0.687361
28.54	0.68739
28.53	0.687419
28.52	0.687447
28.51	0.687476
28.5	0.687505
28.49	0.687534
28.48	0.687563
28.47	0.687592
28.46	0.687621
28.45	0.68765
28.44	0.687679
28.43	0.687707
28.42	0.687737
28.41	0.687766
28.4	0.687795
28.39	0.687824
28.38	0.687853
28.37	0.687882
28.36	0.687911
28.35	0.68794
28.34	0.687969
28.33	0.687999
28.32	0.688028
28.31	0.688057
28.3	0.688086
28.29	0.688116
28.28	0.688145
28.27	0.688174
28.26	0.688204
28.25	0.688233
28.24	0.688262
28.23	0.688292
28.22	0.688321
28.21	0.688351
28.2	0.68838
28.19	0.68841
28.18	0.688439
28.17	0.688469
28.16	0.688499
28.15	0.688528
28.14	0.688558
28.13	0.688588
28.12	0.688617
28.11	0.688647
28.1	0.688677
28.09	0.688706
28.08	0.688736
28.07	0.688766
28.06	0.688796
28.05	0.688826
28.04	0.688856
28.03	0.688886
28.02	0.688915
28.01	0.688945
28	0.688975
27.99	0.689005
27.98	0.689035
27.97	0.689065
27.96	0.689095
27.95	0.689126
27.94	0.689156
27.93	0.689186
27.92	0.689216
27.91	0.689246
27.9	0.689276
27.89	0.689307
27.88	0.689337
27.87	0.689367
27.86	0.689398
27.85	0.689428
27.84	0.689458
27.83	0.689489
27.82	0.689519
27.81	0.689549
27.8	0.68958
27.79	0.68961
27.78	0.689641
27.77	0.689671
27.76	0.689702
27.75	0.689732
27.74	0.689763
27.73	0.689794
27.72	0.689824
27.71	0.689855
27.7	0.689886
27.69	0.689916
27.68	0.689947
27.67	0.689978
27.66	0.690009
27.65	0.69004
27.64	0.69007
27.63	0.690101
27.62	0.690132
27.61	0.690163
27.6	0.690194
27.59	0.690225
27.58	0.690256
27.57	0.690287
27.56	0.690318
27.55	0.690349
27.54	0.69038
27.53	0.690411
27.52	0.690443
27.51	0.690474
27.5	0.690505
27.49	0.690536
27.48	0.690567
27.47	0.690599
27.46	0.69063
27.45	0.690661
27.44	0.690693
27.43	0.690724
27.42	0.690755
27.41	0.690787
27.4	0.690818
27.39	0.69085
27.38	0.690881
27.37	0.690913
27.36	0.690944
27.35	0.690976
27.34	0.691007
27.33	0.691039
27.32	0.691071
27.31	0.691102
27.3	0.691134
27.29	0.691166
27.28	0.691198
27.27	0.691229
27.26	0.691261
27.25	0.691293
27.24	0.691325
27.23	0.691357
27.22	0.691389
27.21	0.691421
27.2	0.691453
27.19	0.691485
27.18	0.691517
27.17	0.691549
27.16	0.691581
27.15	0.691613
27.14	0.691645
27.13	0.691677
27.12	0.691709
27.11	0.691741
27.1	0.691774
27.09	0.691806
27.08	0.691838
27.07	0.69187
27.06	0.691903
27.05	0.691935
27.04	0.691967
27.03	0.692
27.02	0.692032
27.01	0.692065
27	0.692097
26.99	0.69213
26.98	0.692162
26.97	0.692195
26.96	0.692228
26.95	0.69226
26.94	0.692293
26.93	0.692325
26.92	0.692358
26.91	0.692391
26.9	0.692424
26.89	0.692456
26.88	0.692489
26.87	0.692522
26.86	0.692555
26.85	0.692588
26.84	0.692621
26.83	0.692654
26.82	0.692687
26.81	0.69272
26.8	0.692753
26.79	0.692786
26.78	0.692819
26.77	0.692852
26.76	0.692885
26.75	0.692918
26.74	0.692952
26.73	0.692985
26.72	0.693018
26.71	0.693051
26.7	0.693085
26.69	0.693118
26.68	0.693151
26.67	0.693185
26.66	0.693218
26.65	0.693252
26.64	0.693285
26.63	0.693318
26.62	0.693352
26.61	0.693386
26.6	0.693419
26.59	0.693453
26.58	0.693486
26.57	0.69352
26.56	0.693554
26.55	0.693588
26.54	0.693621
26.53	0.693655
26.52	0.693689
26.51	0.693723
26.5	0.693757
26.49	0.69379
26.48	0.693824
26.47	0.693858
26.46	0.693892
26.45	0.693926
26.44	0.69396
26.43	0.693994
26.42	0.694029
26.41	0.694063
26.4	0.694097
26.39	0.694131
26.38	0.694165
26.37	0.6942
26.36	0.694234
26.35	0.694268
26.34	0.694302
26.33	0.694337
26.32	0.694371
26.31	0.694406
26.3	0.69444
26.29	0.694474
26.28	0.694509
26.27	0.694543
26.26	0.694578
26.25	0.694613
26.24	0.694647
26.23	0.694682
26.22	0.694717
26.21	0.694751
26.2	0.694786
26.19	0.694821
26.18	0.694856
26.17	0.69489
26.16	0.694925
26.15	0.69496
26.14	0.694995
26.13	0.69503
26.12	0.695065
26.11	0.6951
26.1	0.695135
26.09	0.69517
26.08	0.695205
26.07	0.69524
26.06	0.695275
26.05	0.695311
26.04	0.695346
26.03	0.695381
26.02	0.695416
26.01	0.695452
26	0.695487
25.99	0.695522
25.98	0.695558
25.97	0.695593
25.96	0.695629
25.95	0.695664
25.94	0.6957
25.93	0.695735
25.92	0.695771
25.91	0.695806
25.9	0.695842
25.89	0.695878
25.88	0.695913
25.87	0.695949
25.86	0.695985
25.85	0.696021
25.84	0.696057
25.83	0.696092
25.82	0.696128
25.81	0.696164
25.8	0.6962
25.79	0.696236
25.78	0.696272
25.77	0.696308
25.76	0.696344
25.75	0.69638
25.74	0.696417
25.73	0.696453
25.72	0.696489
25.71	0.696525
25.7	0.696561
25.69	0.696598
25.68	0.696634
25.67	0.69667
25.66	0.696707
25.65	0.696743
25.64	0.69678
25.63	0.696816
25.62	0.696853
25.61	0.696889
25.6	0.696926
25.59	0.696962
25.58	0.696999
25.57	0.697036
25.56	0.697072
25.55	0.697109
25.54	0.697146
25.53	0.697183
25.52	0.69722
25.51	0.697257
25.5	0.697293
25.49	0.69733
25.48	0.697367
25.47	0.697404
25.46	0.697441
25.45	0.697478
25.44	0.697515
25.43	0.697553
25.42	0.69759
25.41	0.697627
25.4	0.697664
25.39	0.697701
25.38	0.697739
25.37	0.697776
25.36	0.697813
25.35	0.697851
25.34	0.697888
25.33	0.697926
25.32	0.697963
25.31	0.698001
25.3	0.698038
25.29	0.698076
25.28	0.698114
25.27	0.698151
25.26	0.698189
25.25	0.698227
25.24	0.698264
25.23	0.698302
25.22	0.69834
25.21	0.698378
25.2	0.698416
25.19	0.698454
25.18	0.698492
25.17	0.69853
25.16	0.698568
25.15	0.698606
25.14	0.698644
25.13	0.698682
25.12	0.69872
25.11	0.698758
25.1	0.698796
25.09	0.698835
25.08	0.698873
25.07	0.698911
25.06	0.69895
25.05	0.698988
25.04	0.699027
25.03	0.699065
25.02	0.699104
25.01	0.699142
25	0.699181
24.99	0.699219
24.98	0.699258
24.97	0.699297
24.96	0.699335
24.95	0.699374
24.94	0.699413
24.93	0.699452
24.92	0.69949
24.91	0.699529
24.9	0.699568
24.89	0.699607
24.88	0.699646
24.87	0.699685
24.86	0.699724
24.85	0.699763
24.84	0.699803
24.83	0.699842
24.82	0.699881
24.81	0.69992
24.8	0.699959
24.79	0.699999
24.78	0.700038
24.77	0.700078
24.76	0.700117
24.75	0.700156
24.74	0.700196
24.73	0.700235
24.72	0.700275
24.71	0.700315
24.7	0.700354
24.69	0.700394
24.68	0.700434
24.67	0.700473
24.66	0.700513
24.65	0.700553
24.64	0.700593
24.63	0.700633
24.62	0.700673
24.61	0.700713
24.6	0.700752
24.59	0.700792
24.58	0.700833
24.57	0.700873
24.56	0.700913
24.55	0.700953
24.54	0.700993
24.53	0.701033
24.52	0.701074
24.51	0.701114
24.5	0.701154
24.49	0.701195
24.48	0.701235
24.47	0.701276
24.46	0.701316
24.45	0.701357
24.44	0.701397
24.43	0.701438
24.42	0.701479
24.41	0.701519
24.4	0.70156
24.39	0.701601
24.38	0.701642
24.37	0.701683
24.36	0.701723
24.35	0.701764
24.34	0.701805
24.33	0.701846
24.32	0.701887
24.31	0.701928
24.3	0.70197
24.29	0.702011
24.28	0.702052
24.27	0.702093
24.26	0.702134
24.25	0.702176
24.24	0.702217
24.23	0.702258
24.22	0.7023
24.21	0.702341
24.2	0.702383
24.19	0.702424
24.18	0.702466
24.17	0.702507
24.16	0.702549
24.15	0.702591
24.14	0.702632
24.13	0.702674
24.12	0.702716
24.11	0.702758
24.1	0.7028
24.09	0.702842
24.08	0.702884
24.07	0.702926
24.06	0.702968
24.05	0.70301
24.04	0.703052
24.03	0.703094
24.02	0.703136
24.01	0.703179
24	0.703221
23.99	0.703263
23.98	0.703305
23.97	0.703348
23.96	0.70339
23.95	0.703433
23.94	0.703475
23.93	0.703518
23.92	0.70356
23.91	0.703603
23.9	0.703646
23.89	0.703688
23.88	0.703731
23.87	0.703774
23.86	0.703817
23.85	0.70386
23.84	0.703903
23.83	0.703946
23.82	0.703989
23.81	0.704032
23.8	0.704075
23.79	0.704118
23.78	0.704161
23.77	0.704204
23.76	0.704247
23.75	0.704291
23.74	0.704334
23.73	0.704377
23.72	0.704421
23.71	0.704464
23.7	0.704508
23.69	0.704551
23.68	0.704595
23.67	0.704639
23.66	0.704682
23.65	0.704726
23.64	0.70477
23.63	0.704813
23.62	0.704857
23.61	0.704901
23.6	0.704945
23.59	0.704989
23.58	0.705033
23.57	0.705077
23.56	0.705121
23.55	0.705165
23.54	0.705209
23.53	0.705254
23.52	0.705298
23.51	0.705342
23.5	0.705386
23.49	0.705431
23.48	0.705475
23.47	0.70552
23.46	0.705564
23.45	0.705609
23.44	0.705653
23.43	0.705698
23.42	0.705743
23.41	0.705787
23.4	0.705832
23.39	0.705877
23.38	0.705922
23.37	0.705967
23.36	0.706012
23.35	0.706056
23.34	0.706102
23.33	0.706147
23.32	0.706192
23.31	0.706237
23.3	0.706282
23.29	0.706327
23.28	0.706373
23.27	0.706418
23.26	0.706463
23.25	0.706509
23.24	0.706554
23.23	0.7066
23.22	0.706645
23.21	0.706691
23.2	0.706736
23.19	0.706782
23.18	0.706828
23.17	0.706874
23.16	0.706919
23.15	0.706965
23.14	0.707011
23.13	0.707057
23.12	0.707103
23.11	0.707149
23.1	0.707195
